summary_period2,crsp_fundno,caldt,nav_latest,nav_latest_dt,tna_latest,tna_latest_dt,yield,div_ytd,cap_gains_ytd,nav_52w_h,nav_52w_h_dt,nav_52w_l,nav_52w_l_dt,unrealized_app_dep,unrealized_app_dt,asset_dt,per_com,per_pref,per_conv,per_corp,per_muni,per_govt,per_oth,per_cash,per_bond,per_abs,per_mbs,per_eq_oth,per_fi_oth,maturity,maturity_dt,cusip8,crsp_portno,crsp_cl_grp,fund_name,ticker,ncusip,mgmt_name,mgmt_cd,mgr_name,mgr_dt,adv_name,open_to_inv,retail_fund,inst_fund,m_fund,index_fund_flag,vau_fund,et_flag,delist_cd,first_offer_dt,end_dt,dead_flag,merge_fundno,actual_12b1,max_12b1,mgmt_fee,exp_ratio,turn_ratio,fiscal_yearend,crsp_obj_cd,si_obj_cd,accrual_fund,sales_restrict,wbrger_obj_cd,policy,lipper_class,lipper_class_name,lipper_obj_cd,lipper_obj_name,lipper_asset_cd,lipper_tax_cd
AQ,105,20161230,12.79,20161230,26.5,20161230,,,0.138945,13.3,20160907,10.79,20160211,,,20161031,79.76,0.3,0,0.21,0,1.16,-0.29,0.73,0,0,0,17.48,0.62,2,20160131,2883710,1022431,2000026,American Pension Investors Trust: API Growth Fund; Class L Shares,APITX,28837102,Yorktown Mgmt & Research Company Inc,API,Team Managed,,Yorktown Mgmt & Research Company Inc,Y,Y,N,N,,N,,,19850614,20211231,N,,0.0075,0.01,1,0.0244,0.37,20170131,EF,,N,N,,,GMLG,Global Multi-Cap Growth,GL,GLOBAL FUNDS,EQ,Taxable
AQ,105,20171229,14.96,20171229,29.6,20171229,,,1.157885,15.98,20171130,12.86,20170103,,,20171031,68.88,0,0,0,0,0,0,5.53,0,0,0,25.59,0,2,20160131,2883710,1022431,2000026,American Pension Investors Trust: Yorktown Growth Fund; Class L Shares,APITX,28837102,Yorktown Mgmt & Research Company Inc,API,Basten/Basten/East,19850101,Yorktown Mgmt & Research Company Inc,Y,Y,N,N,,N,,,19850614,20211231,N,,0.00981,0.01,1,0.024,0.33,20180131,EF,,N,N,,,GMLG,Global Multi-Cap Growth,GL,GLOBAL FUNDS,EQ,Taxable
AQ,105,20181231,10.32,20181231,21.2,20181231,,,2.626225,15.81,20180126,9.83,20181224,,,20181231,75.34,0,0,0,0,0,0,0.53,0,0,0,24.13,0,2,20160131,2883710,1022431,2000026,American Pension Investors Trust: Yorktown Growth Fund; Class L Shares,APITX,28837102,Yorktown Mgmt & Research Company Inc,API,Basten/Basten/East,19850101,Yorktown Mgmt & Research Company Inc,Y,Y,N,N,,N,,,19850614,20211231,N,,0.01,0.01,1,0.0245,0.61,20190131,EF,,N,N,,,GSME,Global Small-/Mid-Cap Funds,GL,GLOBAL FUNDS,EQ,Taxable
AQ,105,20191231,12.28,20191231,26.6,20191231,,,1.154015,13.22,20191127,10.07,20190103,,,20191031,79.88,0,0,0,0,0,0,2.3,0,0,0,17.81,0,2,20160131,2883710,1022431,2000026,American Pension Investors Trust: Yorktown Growth Fund; Class L Shares,APITX,28837102,Yorktown Mgmt & Research Company Inc,API,Basten/Basten/East,19850101,Yorktown Mgmt & Research Company Inc,Y,Y,N,N,,N,,,19850614,20211231,N,,0.01,0.01,1,0.0246,0.43,20200131,EF,,N,N,,,GMLG,Global Multi-Cap Growth Fds,GL,GLOBAL FUNDS,EQ,Taxable
AQ,105,20201231,13.78,20201231,34.7,20201231,,,1.922754,15.1,20201204,8.85,20200323,,,20201130,88.19,0,0,0,0,0,0,4.91,0,0,0,6.9,0,2,20160131,2883710,1022431,2000026,American Pension Investors Trust: Yorktown Growth Fund; Class L Shares,APITX,28837102,Yorktown Mgmt & Research Company Inc,API,Basten/Basten/East,19850101,Yorktown Mgmt & Research Company Inc,Y,Y,N,N,,N,,,19850614,20211231,N,,0.01,0.01,0.863,0.0233,0.94,20210131,EF,,N,N,,,GMLG,Global Multi-Cap Growth Fds,GL,GLOBAL FUNDS,EQ,Taxable
AQ,105,20211231,13.39,20211231,42.7,20211231,,,2.5187,16.52,20211116,12.61,20211220,,,20211031,87.02,0,0,0,0,0,-1.05,1.66,0,0,0,12.38,0,2,20160131,2883710,1022431,2000026,American Pension Investors Trust: Yorktown Growth Fund; Class L Shares,APITX,28837102,American Pension Investors Trust,BXY,Basten/Basten/East,19850101,Yorktown Mgmt & Research Company Inc,Y,Y,N,N,,N,,,19850614,20211231,N,,,,,,,,EF,,N,N,,,GSME,Global Small-/Mid-Cap Funds,GL,GLOBAL FUNDS,EQ,Taxable
AQ,2745,20161230,13.36,20161230,25.5,20161230,,,0.6623,14.23,20161220,10.05,20160211,,,20161031,88.98,0,0,0.69,0,5.29,1.3,1.07,0,0,0,0,2.66,,,00171A86,1027459,2000394,AMG Funds IV: AMG River Road Small Cap Value Fund; Class N Shares,ARSVX,00171A860,AMG Funds LLC,MGR,Team Managed,,AMG Funds LLC,Y,Y,N,N,,N,,,20050628,20211231,N,,0.0025,0.0025,0.948,0.0135,0.42,20171031,EDCS,,N,N,,,SCCE,Small-Cap Core Funds,SG,SMALL-CAP FUNDS,EQ,Taxable
AQ,2745,20171229,12.99,20171229,32.3,20171229,,,1.9429,15.03,20171221,12.99,20171229,,,20171031,91.9,0,0,0.39,0,3.59,0.01,4.5,0,0,0,0,0,,,00171A86,1027459,2000394,AMG Funds IV: AMG River Road Small Cap Value Fund; Class N Shares,ARSVX,00171A860,AMG Funds LLC,MGR,Shircliff/Beck/Akin,20170101,AMG Funds LLC,Y,Y,N,N,,N,,,20050628,20211231,N,,0.0025,0.0025,0.948,0.0135,0.41,20181031,EDCS,,N,N,,,SCCE,Small-Cap Core Funds,SG,SMALL-CAP FUNDS,EQ,Taxable
AQ,2745,20181231,10.68,20181231,24.2,20181231,,,1.3891,14.48,20180914,10.55,20181227,,,20181031,92.16,0,0,0.04,0,3.33,1.24,3.09,0,0,0,0,0.14,,,00171A86,1027459,2000394,AMG Funds IV: AMG River Road Small Cap Value Fund; Class N Shares,ARSVX,00171A860,AMG Funds LLC,MGR,Shircliff/Beck/Akin,20170101,AMG Funds LLC,Y,Y,N,N,,N,,,20050628,20211231,N,,0.0025,0.0025,0.95,0.0136,0.47,20191031,EDCS,,N,N,,,SCCE,Small-Cap Core Funds,SG,SMALL-CAP FUNDS,EQ,Taxable
AQ,2745,20191231,13.05,20191231,43,20191231,,,0.7894,13.62,20191212,10.63,20190103,,,20191031,88.18,0,0,0,0,4.39,2.47,4.95,0,0,0,0,0.01,,,00171A86,1027459,2000394,AMG Funds IV: AMG River Road Small Cap Value Fund; Class N Shares,ARSVX,00171A860,AMG Funds LLC,MGR,Shircliff/Beck/Akin,20050101,AMG Funds LLC,Y,Y,N,N,,N,,,20050628,20211231,N,,0.0025,0.0025,0.95,0.0136,0.42,20201031,EDCS,,N,N,,,SCCE,Small-Cap Core Funds,SG,SMALL-CAP FUNDS,EQ,Taxable
