,,,20100104,20100105,20100106,20100107,20100108,20100111,20100112,20100113,20100114,20100115,20100119,20100120,20100121,20100122,20100125,20100126,20100127,20100128,20100129,20100201,20100202,20100203,20100204
9,30,0,112.38,113.29,113.55,113.55,113.87,115.11,113.98,113.96,114.51,114.72,113.62,114.28,113.91,111.25,110.2,109.36,109.19,110.21,109.03,108.17,109.28,109.87,108.95
9,30,1,112.33,113.27,113.52,113.52,113.88,115.09,113.98,113.97,114.48,114.74,113.61,114.27,113.92,111.24,110.23,109.31,109.19,110.2101,109.04,108.15,109.27,109.91,108.95
9,30,2,112.38,113.28,113.53,113.52,113.88,115.08,113.99,113.97,114.49,114.75,113.64,114.26,113.92,111.25,110.23,109.3,109.18,110.22,108.99,108.2,109.27,109.89,108.96
9,30,3,112.39,113.27,113.52,113.53,113.88,115.08,113.98,113.98,114.47,114.75,113.65,114.25,113.92,111.25,110.23,109.32,109.17,110.23,109,108.2,109.26,109.9,108.97
9,30,4,112.39,113.26,113.53,113.52,113.89,115.08,113.98,113.99,114.47,114.75,113.65,114.26,113.92,111.26,110.24,109.31,109.19,110.21,109.03,108.16,109.24,109.89,108.99
9,30,5,112.39,113.28,113.525,113.51,113.88,115.0725,113.99,113.9802,114.46,114.74,113.6499,114.26,113.93,111.26,110.22,109.31,109.17,110.21,109.055,108.16,109.24,109.91,108.97
9,30,6,112.4,113.28,113.53,113.52,113.865,115.08,113.98,113.97,114.46,114.755,113.64,114.25,113.93,111.26,110.22,109.3,109.17,110.21,109.08,108.18,109.24,109.92,108.95
9,30,7,112.4,113.31,113.53,,113.85,115.075,113.97,113.96,114.45,114.74,113.64,114.2475,113.94,111.26,110.22,109.28,109.17,110.2,109.09,108.2,109.23,109.92,108.95
9,30,8,112.41,113.31,113.54,113.52,113.85,115.08,113.97,113.94,114.44,114.75,113.62,114.25,113.93,111.25,110.22,109.29,109.16,110.19,109.11,108.19,109.23,109.92,108.95
9,30,9,112.415,113.29,113.56,113.51,113.86,115.09,113.97,113.96,114.44,114.75,113.62,114.27,113.9401,111.25,110.24,109.29,109.16,110.2,109.12,108.18,109.22,109.92,108.95
